07:16:09.330519 IP 5ed92da5bdac.48424 > prod-oai-spgwc.prod-oai-public-net.8805: UDP, length 16
07:16:22.829289 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.829299 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.829300 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.829302 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.829303 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.829305 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.829306 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.829360 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.829362 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.829363 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.829365 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.829399 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.829414 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.829414 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.829428 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.829415 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.829417 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.829418 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.829419 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.829421 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.829422 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.829442 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.829455 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.829468 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.829467 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.829469 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.829481 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.829470 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.829472 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.829473 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.829494 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.829567 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.829582 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.829594 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.829607 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.829616 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.829620 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.829633 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.829670 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.829689 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.829728 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.866403 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.866405 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.866407 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.866408 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.866409 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.866411 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.866413 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.866414 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.866415 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.866483 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.866502 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.866515 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.866528 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.866541 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.866653 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.866654 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.866656 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.866657 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.866659 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.866660 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.866662 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.866663 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.866665 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.866666 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.866668 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.866669 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.866671 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.866756 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.866771 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.866800 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.866813 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.866826 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.866839 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.873747 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.873772 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.887031 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.900433 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.900458 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.913875 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.927059 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.927103 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.940376 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.953752 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.953777 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.967186 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.980795 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.980835 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.993908 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.007323 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.007349 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.020895 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.034013 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.034118 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.047436 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.060595 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.060655 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.074009 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.087306 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
